unique
------
                              unsorted  sorted	hashing
GreenEggsAndHam.txt             0.004     0.003	.006
Macbeth.txt                     0.130     0.010	.012
Genesis.txt                     0.230     0.009	.012
HoundOfTheBaskervilles.txt      0.622     0.023	.013
TheWarOfTheWorlds.txt           0.811     0.030	.014
TreasureIsland.txt              1.208     0.030	.013
TheSecretGarden.txt             0.870     0.024	.016
TwentyThousandLeagues.txt       3.173     0.050	.017
TheCountOfMonteCristo.txt       32.612    0.186	.100
Bible.txt                       17.096    0.174	.057

parity
------
                              unsorted  sorted	hashing
GreenEggsAndHam.txt             0.002     0.002	.006
Macbeth.txt                     0.003     0.031	.012
Genesis.txt                     0.004     0.035	.018
HoundOfTheBaskervilles.txt      0.005     0.123	.017
TheWarOfTheWorlds.txt           0.006     0.142	.016
TreasureIsland.txt              0.007     0.145	.016
TheSecretGarden.txt             0.006     0.149	.023
TwentyThousandLeagues.txt       0.008     0.285	.024
TheCountOfMonteCristo.txt       0.028     2.261	.079
Bible.txt                       0.044     2.211	.118

